지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표,환승전호선ID,환승전호선명,환승후호선ID,환승후호선명,차량번호,출입문위치,환승위치
1003000352,오금,1003,3호선,1003000351,1003000352,경찰병원,오금,37.50232208779385,127.12848280775154,1003.0,3호선,1005.0,5호선,9.0,4.0,9-4
1004000409,당고개,1004,4호선,1004000409,1004000410,당고개,상계,37.6702168353314,127.079066619316,,,,,,,
1004000410,상계,1004,4호선,1004000409,1004000411,당고개,노원,37.660720544722,127.073421632239,,,,,,,
1007000737,남성,1007,7호선,1007000736,1007000738,총신대입구(이수),숭실대입구,37.484793511299706,126.9709102006532,,,,,,,
1007000738,숭실대입구,1007,7호선,1007000737,1007000739,남성,상도,37.4963172817574,126.953621963422,,,,,,,
1007000739,상도,1007,7호선,1007000738,1007000740,숭실대입구,장승배기,37.5028706251049,126.947917975554,,,,,,,
1007000740,장승배기,1007,7호선,1007000739,1007000741,상도,신대방삼거리,37.5048990621814,126.939072381356,,,,,,,
1007000741,신대방삼거리,1007,7호선,1007000740,1007000742,장승배기,보라매,37.49975722890856,126.92821094566963,,,,,,,
1007000742,보라매,1007,7호선,1007000741,1007000743,신대방삼거리,신풍,37.49992085496506,126.92061230710924,,,,,,,
1007000743,신풍,1007,7호선,1007000742,1007000744,보라매,대림,37.5001229935524,126.90975434386,,,,,,,
1007000744,대림,1007,7호선,1007000743,1007000745,신풍,남구로,37.4928430008915,126.896722858042,1007.0,7호선,1002.0,2호선,8.0,4.0,8-4
1007000744,대림,1007,7호선,1007000743,1007000745,신풍,남구로,37.4928430008915,126.896722858042,1007.0,7호선,1002.0,2호선,1.0,1.0,1-1
1007000745,남구로,1007,7호선,1007000744,1007000746,대림,가산디지털단지,37.48625714438263,126.88741505160267,,,,,,,
1007000746,가산디지털단지,1007,7호선,1007000745,1007000747,남구로,철산,37.4803959660982,126.882661758356,1007.0,7호선,1001.0,1호선,5.0,2.0,5-2
1007000746,가산디지털단지,1007,7호선,1007000745,1007000747,남구로,철산,37.4803959660982,126.882661758356,1007.0,7호선,1001.0,1호선,4.0,3.0,4-3
1007000747,철산,1007,7호선,1007000746,1007000748,가산디지털단지,광명사거리,37.4761928424537,126.868211027014,,,,,,,
1007000748,광명사거리,1007,7호선,1007000747,1007000749,철산,천왕,37.4792983082726,126.854873735158,,,,,,,
1007000749,천왕,1007,7호선,1007000748,1007000750,광명사거리,온수,37.48685558277736,126.83860534807998,,,,,,,
1007000750,온수,1007,7호선,1007000749,1007000751,천왕,까치울,37.4919675365056,126.823847928009,1007.0,7호선,1001.0,1호선,8.0,4.0,8-4
1007000750,온수,1007,7호선,1007000749,1007000751,천왕,까치울,37.4919675365056,126.823847928009,1007.0,7호선,1001.0,1호선,1.0,1.0,1-1
