지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표
1067080117,회기,1067,경춘선,1067080116,1067080118,회기,회기,127.058537601316,37.5899221169641
1067080118,중랑,1067,경춘선,1067080117,1067080120,중랑,중랑,127.085085690038,37.5969733432502
1071075261,인하대,1071,수인선,1071075259,1071075262,인하대,인하대,126.649763418519,37.4483386165197
1077006814,동천,1077,신분당선,1077006813,1077006815,동천,동천,127.102870440698,37.3378429142383
1077006815,수지구청,1077,신분당선,1077006814,1077006816,수지구청,수지구청,127.094658560596,37.322492584304
1077006816,성복,1077,신분당선,1077006815,1077006817,성복,성복,127.08038367116,37.3135324511783
1077006817,상현,1077,신분당선,1077006816,1077006818,상현,상현,127.069363534097,37.2978289663421
1077006818,광교중앙,1077,신분당선,1077006817,1077006819,광교중앙,광교중앙,127.051726324729,37.2883843017536
1077006819,광교,1077,신분당선,1077006818,1077006819,광교,광교,127.044268853097,37.3021119263654
1071075262,숭의,1071,수인선,1071075261,1071075263,숭의,숭의,126.63841022084426,37.460799611154286
1071075263,신포,1071,수인선,1071075262,1071075264,신포,신포,126.624533685908,37.4684545360849
1071075264,인천,1071,수인선,1071075263,1071075264,인천,인천,126.617398357613,37.4764686136348
1079340013,어룡,1079,의정부,1079340012,1079340014,어룡,어룡,127.085206837732,37.7426941378158
1079340014,송산,1079,의정부,1079340013,1079340015,송산,송산,127.08721549161,37.7372760423191
1078330027,운연,1078,인천2호선,1078330026,1081370001,운연,운연,126.759606687799,37.4396425989597
1081370001,판교,1081,경강선,1078330027,1081370002,판교,판교,127.111982699564,37.394775885643
1081370002,이매,1081,경강선,1081370001,1081370003,이매,이매,127.127318661399,37.3947135146921
1081370003,삼동,1081,경강선,1081370002,1081370004,삼동,삼동,127.20338391386589,37.40868738382225
1081370004,경기광주,1081,경강선,1081370003,1081370005,경기광주,경기광주,127.253282668137,37.3989438131636
1081370005,초월,1081,경강선,1081370004,1081370006,초월,초월,127.299905223152,37.3733791295012
1081370006,곤지암,1081,경강선,1081370005,1081370007,곤지암,곤지암,127.346251343712,37.3505395429634
1081370007,신둔도예촌,1081,경강선,1081370006,1081370008,신둔도예촌,신둔도예촌,127.40524300441095,37.3156131233126
1081370008,이천,1081,경강선,1081370007,1081370009,이천,이천,127.44216788016918,37.264225761758865
1081370009,부발,1081,경강선,1081370008,1081370010,부발,부발,127.490321502069,37.2603923465465
1081370011,여주,1081,경강선,1081370010,1079340001,여주,여주,127.628529053998,37.2828596478666
1079340001,발곡,1079,의정부,1081370011,1079340002,발곡,발곡,127.052969199269,37.7271478742052
1079340002,회룡,1079,의정부,1079340001,1079340003,회룡,회룡,127.047295368138,37.7238058806629
1079340003,범골,1079,의정부,1079340002,1079340004,범골,범골,127.043668564435,37.7287878498671
1079340005,의정부시청,1079,의정부,1079340004,1079340006,의정부시청,의정부시청,127.034848091039,37.739234834508
1079340006,흥선,1079,의정부,1079340005,1079340007,흥선,흥선,127.03717589317614,37.74328307869396
1079340007,의정부중앙,1079,의정부,1079340006,1079340008,의정부중앙,의정부중앙,127.049649812523,37.7436803165603
1079340008,동오,1079,의정부,1079340007,1079340009,동오,동오,127.056985043204,37.745269911047
1079340009,새말,1079,의정부,1079340008,1079340010,새말,새말,127.063759511679,37.7488486906286
1079340010,경기도청북부청사,1079,의정부,1079340009,1079340011,경기도청북부청사,경기도청북부청사,127.071617829299,37.7507650408734
1079340011,효자,1079,의정부,1079340010,1079340012,효자,효자,127.077226606947,37.7539905661041
1079340012,곤제,1079,의정부,1079340011,1079340013,곤제,곤제,127.083822421136,37.7505371570413
1079340015,탑석,1079,의정부,1079340014,1079340015,탑석,탑석,127.088908165858,37.7334871006703
1063075138,지평,1063,경의중앙선,1063075137,1063075138,지평,지평,127.62890592244803,37.476907283345135
1080350001,기흥,1080,에버라인,1080350001,1080350002,강남대,강남대,127.11704645705142,37.27545287699772
1080350002,강남대,1080,에버라인,1080350001,1080350003,강남대,강남대,127.12606689205987,37.27017072715994
1080350003,지석,1080,에버라인,1080350002,1080350004,지석,지석,127.13663256032949,37.269737317702365
1080350004,어정,1080,에버라인,1080350003,1080350005,어정,어정,127.14374986977646,37.27495131826632
1080350005,동백,1080,에버라인,1080350004,1080350006,동백,동백,127.15269056435368,37.269101384338924
1080350006,초당,1080,에버라인,1080350005,1080350007,초당,초당,127.15946923688787,37.26080647373655
1080350007,삼가,1080,에버라인,1080350006,1080350008,삼가,삼가,127.16817999042203,37.24205993395667
1080350008,시청·용인대,1080,에버라인,1080350007,1080350009,시청·용인대,시청·용인대,127.17888509175044,37.23944203003437
1080350009,명지대,1080,에버라인,1080350008,1080350010,명지대,명지대,127.19029130857074,37.23807628801618
1080350010,김량장,1080,에버라인,1080350009,1080350011,김량장,김량장,127.19861087939051,37.23732377067836
1080350011,운동장·송담대,1080,에버라인,1080350010,1080350012,운동장·송담대,운동장·송담대,127.20905264479066,37.237911300345324
1080350012,고진,1080,에버라인,1080350011,1080350013,고진,고진,127.21418360142515,37.244638336050315
1080350013,보평,1080,에버라인,1080350012,1080350014,보평,보평,127.21848076908013,37.258964266014694
1080350014,둔전,1080,에버라인,1080350013,1080350015,둔전,둔전,127.21363872279483,37.26721221736258
1080350015,전대·에버랜드,1080,에버라인,1080350014,1078330001,전대·에버랜드,전대·에버랜드,127.21950896826833,37.28541326931372
1078330001,검단오류,1078,인천2호선,1080350015,1078330002,검단오류,검단오류,126.627907494962,37.5949434686845
1078330002,왕길,1078,인천2호선,1078330001,1078330003,왕길,왕길,126.642477372147,37.595129055954
1078330004,마전,1078,인천2호선,1078330003,1078330005,마전,마전,126.667223457118,37.5976340869751
1078330005,완정,1078,인천2호선,1078330004,1078330006,완정,완정,126.673033100577,37.5928390497566
1078330006,독정,1078,인천2호선,1078330005,1078330007,독정,독정,126.67600264877679,37.58484825991949
1078330007,검암,1078,인천2호선,1078330006,1078330008,검암,검암,126.67567426472,37.5686781799536
1078330008,검바위,1078,인천2호선,1078330007,1078330009,검바위,검바위,126.677531491203,37.5611257424349
1078330009,아시아드경기장,1078,인천2호선,1078330008,1078330010,아시아드경기장,아시아드경기장,126.677107520162,37.5513145630525
1078330010,서구청,1078,인천2호선,1078330009,1078330011,서구청,서구청,126.676844673062,37.5440446154284
1078330011,가정,1078,인천2호선,1078330010,1078330012,가정,가정,126.675357432309,37.5248168619511
1078330013,석남,1078,인천2호선,1078330012,1078330014,석남,석남,126.676149271119,37.5062431189861
