Unnamed: 0,지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,기본주소,상세주소,지하철역X좌표,지하철역Y좌표
464,1001000154,동암,1001,1호선,1001000153,1001000155,인천광역시 부평구 십정2동,474-1,173718.2549,441353.0443
465,1001000155,간석,1001,1호선,1001000154,1001000156,인천광역시 남동구 간석4동,,172878.6739,440640.7302
466,1001000156,주안,1001,1호선,1001000155,1001000157,인천광역시 남구 주안동,125,171738.9597,440677.3749
467,1001000157,도화,1001,1호선,1001000156,1001000158,인천광역시 남구 도화1동,,170659.1722,440806.4615
468,1001000158,제물포,1001,1호선,1001000157,1001000159,인천광역시 남구 도화1동,649-9,169635.4722,440890.7954
469,1001000159,도원,1001,1호선,1001000158,1001000160,인천광역시 동구 금창동,179-1,168365.6346,441110.9071
470,1001000160,동인천,1001,1호선,1001000159,1001000161,인천광역시 중구 인현동,1-1,167500.9877,441841.7667
471,1001000161,인천,1001,1호선,1001000160,1001000161,인천광역시 중구 북성동1가,3,166092.3024,441939.1814
472,1001075410,광명,1001,1호선,1001080141,1001075410,경기도 광명시 일직동,267-2,189879.5,435331.3
473,1001080142,가산디지털단지,1001,1호선,1001000141,1001080143,서울특별시 금천구 가산동,464-4,189599.6688,442423.9709
474,1001000101,동두천,1001,1호선,1001000100,1001000102,경기도 동두천시 동두천동,245-3,204824.737,492006.4241
475,1001000102,보산,1001,1호선,1001000101,1001000103,경기도 동두천시 보산동,422,205021.9647,490533.9431
476,1001000103,동두천중앙,1001,1호선,1001000102,1001000104,경기도 동두천시 생연2동,688,204967.7474,489106.9743
477,1001000104,지행,1001,1호선,1001000103,1001000105,경기도 동두천시 지행동,,204914.1407,488082.7877
478,1001000105,덕정,1001,1호선,1001000104,1001000106,경기도 양주시 덕정동,,205446.067,482653.5202
479,1001000106,덕계,1001,1호선,1001000105,1001000107,경기도 양주시 덕계동,267-1,204942.8611,479879.9865
480,1001000107,양주,1001,1호선,1001000106,1001000108,경기도 양주시 남방동,1,203948.0054,474893.6035
481,1001000108,녹양,1001,1호선,1001000107,1001000109,경기도 의정부시 녹양동,97-3,203724.6713,473310.9602
482,1001000109,가능,1001,1호선,1001000108,1001000110,경기도 의정부시 의정부1동,205-23,203919.8,472062.8
483,1001000110,의정부,1001,1호선,1001000109,1001000111,경기도 의정부시 의정부2동,168,204060.3038,471031.184
484,1001000111,회룡,1001,1호선,1001000110,1001000112,경기도 의정부시 호원동,,204175.3823,469420.451
485,1007000730,강남구청,1007,7호선,1007000729,1007000731,서울특별시 강남구 삼성2동,1,203651.0059,446422.6502
486,1007000731,학동,1007,7호선,1007000730,1007000732,서울특별시 강남구 논현동,208,202799.6683,446092.223
